utterance_id	From	To	File	Id	String id	Year of birth	Sex	Education	Place of birth	Place of living	Left Context	DMatch	Right Context
1250	94345	95839	2019_Soino-pma1937_4_1		pma1937	1937	f	4 класса	Яновка	Соино	Выхожу, что - то по	потолку	,
1285	16895	20953	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Как раз я уже родилась в тридцатом	году	,
1330	162112	165062	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Слава	богу	, мамкина родня.
1438	529981	532513	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки		пастуху	скажет: вот не гоните!
1508	792315	794045	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	помолится	богу	.
1515	812947	814928	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Это	пастуху	сносили.
1522	833250	836910	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Кругом стадо обойдет, помолится	богу	.
1526	848805	851285	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки		Пугу	на плечо и обойдет кругом.
1543	913310	918020	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Откуль я ж, тогда (тады) мы жили на по = на	посёлку	, на собняку.
1543	913310	918020	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Откуль я ж, тогда (тады) мы жили на по = на посёлку, на	собняку	.
1580	1049015	1053015	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	по	телевизору	, ну, этот (этый), батюшка хороший.
1591	1086495	1089145	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	молитесь	Богу	, каб здоровье было.
1608	1157839	1160849	2018_stajki_kfb1929_2_19-40		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Ну, а теперь, слава	богу	, врачи помогают.
1632	10680	14470	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	ой, а мы же стояли, молились	богу	.
1681	240329	241869	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	Туда (	туду	) в Мстиславль.
1709	373546	379981	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну как (як) оно (яно) получается? Ну, глянет этот (этый) человек, и плохо это	дитёнку	.
1733	486035	487145	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну и	пеку	.
1741	509561	513181	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну да, вот он, кусок пресн =	пресну	= ну, квадрат.
1761	570878	575123	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	И	пеку	, пеку даже я, на одной сковороде такие сухие,
1761	570878	575123	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	И пеку,	пеку	даже я, на одной сковороде такие сухие,
1762	575889	578319	2019_zhanvil_pds1932_2_6		pds1932	1932	f	4 класса	Шипы	Жанвиль	а на одной сковороде сала	накладу	, жиру.
1946	733010	735833	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	У кого корова, и все по	дню	кругом пасут.
1998	934349	935519	2018_stajki_vfp1931_2_25-47		vfp1931	1931	f	6 классов	Николаево	Стайки	Пекли	паску	.
2144	87879	89311	2019_Soino-pma1937_4_2		pma1937	1937	f	4 класса	Яновка	Соино	Кто там по	здоровью	не может.
2199	234551	237440	2019_Soino-pma1937_4_2		pma1937	1937	f	4 класса	Яновка	Соино	Если у него в головах, будет переворачиваться в	гробу	, что ли?
2208	260051	261286	2019_Soino-pma1937_4_2		pma1937	1937	f	4 класса	Яновка	Соино	Так в	гробу	, а как вот.
2501	276828	279084	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Приехала тоже с Москвы сюда к	брату	.
2571	469225	472446	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	В сорок четвёртом	году	, десятого марта.
2573	475342	480912	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А пришёл с армии в пятидесятом	году	тридцатого сентября, вот ско =. Вот сколько отбарабанил.
2580	503174	511063	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну а потом он (ён) хотел было тоже на пенсию, в этот (этый) в военкомат сходил, сказали, часть ваша, говорят, в	бою	не участвовала.
2616	647029	650569	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	семнадцать годов тут (тута) на ферме сь = на	свинарнику	.
2687	884180	886370	2018_Malye_Xutora_zvp1934_1_4		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Подвесить вон	верёку	да и тогда (тады)
2829	194273	198033	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	И я	натру	(натяру), на печь положу их, накрою (накрыю).
2829	194273	198033	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	И я натру (	натяру	), на печь положу их, накрою (накрыю).
2841	246717	251698	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	бабке по =, бабки ж умеют какой - то (якей - то) со	спугу	это... Ну и всё.
2845	283315	286722	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	С одного	боку	батька лежит, я, он (ён) зашевелился.
2852	324515	331139	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ся =, ся =, уже (	ужу	) сидеть задумал дитя, коли которое подушкой обкладу,
2852	324515	331139	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ся =, ся =, уже (ужу) сидеть задумал дитя, коли которое подушкой	обкладу	,
2867	424457	429752	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Вот, мама спечёт хлеба, кусочек возьму, я его вытру (	вытеру	), вытру (вытеру), ну всё...
2867	424457	429752	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Вот, мама спечёт хлеба, кусочек возьму, я его вытру (вытеру), вытру (	вытеру	), ну всё...
2942	835372	840212	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Это ж, о, теперь же, как (як) дурные сеют, знать, в мае ти в апреле	бульбу	эту.
2967	975735	979890	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	и под кустом, а после Ильи и на	кусту	не ве =, не сохнет.
3008	1215578	1219070	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Дык если они (яны) в	лесу	(лясу) живут, если живут они в лесу.
3008	1215578	1219070	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Дык если они (яны) в лесу (	лясу	) живут, если живут они в лесу.
3008	1215578	1219070	2019_zhanvil_pds1932_2_3		pds1932	1932	f	4 класса	Шипы	Жанвиль	Дык если они (яны) в лесу (лясу) живут, если живут они в	лесу	.
3024	49185	52495	2018_stajki_nib1935_1_0-16		vvb1936	1936	f	n/d	Максимовка	Стайки	Ну, вот по этому	большаку	гнали пленных в Германию.
3136	416596	419135	2018_stajki_nib1935_1_0-16		nib1935	1935	m	n/d	Стайки	Стайки	Где (иде) б я договорился, в другом языке (	языку	).
3165	483760	485091	2018_stajki_nib1935_1_0-16		nib1935	1935	m	n/d	Стайки	Стайки	по	мешку	набираешь.
3188	549112	550602	2018_stajki_nib1935_1_0-16		vvb1936	1936	f	n/d	Максимовка	Стайки	Да, до шестидесятого года (	году	).
3302	875643	876961	2018_stajki_nib1935_1_0-16		nib1935	1935	m	n/d	Стайки	Стайки	а	мужику	шестьдесят пять.
3305	882286	884968	2018_stajki_nib1935_1_0-16		nib1935	1935	m	n/d	Стайки	Стайки		Мужику	уже шестьдесят, а женщине шестьдесят пять.
3390	176141	182011	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	А	лесу	не было так, как (як) сейчас заросло. А такие вот прутики, сеткой принесешь и сразу в х =.
3412	244672	248017	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	Когда отступали, они всё на своем	ходу	и сжигали.
3470	419091	422065	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	Все строили ж, ничего не было, ни	скоту	.
3472	426475	428635	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки		Полуторочку	маленькую такую.
3478	440948	442890	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	Ни	скоту	не было в колхозе.
3529	614472	618457	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	Сколько было	народу	. Сейчас совсем же деревень нема, народу нету.
3529	614472	618457	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	Сколько было народу. Сейчас совсем же деревень нема,	народу	нету.
3613	879515	881945	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	Её мужик служит по	контракту	.
3791	1455343	1457863	2018_stajki_vfp1931_1_0-25		vfp1931	1931	f	6 классов	Николаево	Стайки	Тут за то, тут были в	плену	оставши.
3842	189050	196000	2019_zarechje_via1941_1_1_0-17		via1941	1941	f	n/d	Николаево	Заречье	И, т = потом	подженишнику	надо было платить (платити) за невесту, за эту.
3925	589920	594480	2019_zarechje_via1941_1_1_0-17		via1941	1941	f	n/d	Николаево	Заречье	Ну, мамка даст сколько яичек. Ну, мы жарили яешну во	рву	.
3937	641265	645225	2019_zarechje_via1941_1_1_0-17		via1941	1941	f	n/d	Николаево	Заречье	Когда хочешь, заблудишь там во	рву	, в бурьяне в этом.
3946	690815	692795	2019_zarechje_via1941_1_1_0-17		via1941	1941	f	n/d	Николаево	Заречье	настилали возле дома (	дому	).
3962	773205	778705	2019_zarechje_via1941_1_1_0-17		via1941	1941	f	n/d	Николаево	Заречье	Ну, кто их знает? Батюшка так приказывал делать: класть по	яичку	.
4000	1011829	1019123	2019_zarechje_via1941_1_1_0-17		via1941	1941	f	n/d	Николаево	Заречье	Дак он шёл (ишёл), у меня был брат,	брату	было шесть лет. И он шел (ишёл) и говорит:
4085	224268	229208	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Потом уже через год трошку стала та (тая) корова давать так с	литру	молока.
4095	251951	252991	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ти по	климату	.
4099	262918	264973	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Очень, дак а тогда (тады) уже как (як) с	литру	.
4101	268078	271706	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Если какой (якей) хлеб был, покрошит и ту (тую)	литру	туда (туды).
4115	320652	322812	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А ну, телёнок,	телёнку	дай (даси).
4173	496203	497711	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Я ту (тую)	верёку	как - то (як - то)
4342	991375	994159	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Это надо такой пролёт. Отэтуля к	озеру	.
4413	1206521	1208161	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Никуда (никуды) я не езжу (	езжию	).
4446	1312258	1316113	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	И ещё ей говорю, надо ж было, воду в	горлачу	носила ей.
4498	1473399	1475388	2018_Malye_Xutora_zvp1934_1_6		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну уже (ужо) так не	кошу	, как (як) сын косит.
4622	198992	202051	2019_Soino-pma1937_3_2		pma1937	1937	f	4 класса	Яновка	Соино	И вот в	лесу	растёт такая трава, называется дереза.
4706	132576	135576	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Это в шестидесятом	году	, ещё техники не было.
4755	300183	302796	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Просят. Незнамо как (як) просят. Говорят, хоть	литру	.
4758	306283	310029	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	если на доску почёта, два раза только в	году	, а больше не давали.
4789	404080	409594	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Легче хоть. А там в шестьдесят пятом	году	уже (ужо) колхоз перешёл на деньги. Стал уже (ужо) колхоз платить деньги.
4793	420977	422899	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Дак у меня сорок четыре годы	стажу	.
4794	423816	425095	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Сорок четыре -	стажу	.
4797	432070	434904	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	ну да, в, в этом, в восемьдесят девятом	году	.
4804	449258	452943	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А потом, как (як) у меня стало сорок один год	стажу	,
4817	488932	491748	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Да, и уже (ужо) привя = привязут тебя к	жениху	сюда.
4822	501696	504453	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	П = п = к	жениху	. К жениху привезли. Да.
4822	501696	504453	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	П = п = к жениху. К	жениху	привезли. Да.
4840	578316	581554	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ещё ж и было	народу	. В Стайках же и школа была.
4904	778609	781034	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну, так вот	скоту	давали, ну.
4926	844621	845974	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А старик был в	лесу	.
4948	906773	908971	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора		чёрту	дрова, бывало, тут наклажены.
4956	928609	930521	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Чучело вот тут (тута)	Богатырю	,
4969	969795	970736	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Я	говою	: ну, вот.
4989	1024573	1026332	2018_Malye_Xutora_zvp1934_1_7		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	На машине вёз в	мешку	.
5073	73527	75527	2018_stajki_nib1935_4_48-59		nib1935	1935	m	n/d	Стайки	Стайки	Церквей было много по	району	.
5112	201375	204465	2018_stajki_nib1935_4_48-59		nib1935	1935	m	n/d	Стайки	Стайки	Картошки собирали	музыканту	за это, денег - то не было.
5211	546423	548731	2018_stajki_nib1935_4_48-59		nib1935	1935	m	n/d	Стайки	Стайки	Родились по собственному	желанию	родителей.
5212	550459	553192	2018_stajki_nib1935_4_48-59		nib1935	1935	m	n/d	Стайки	Стайки	Ну, а если помрём, то по	сокращению	штата.
5273	156894	159244	2019_zarechje_via1941_1_2_18-20_24_34_36_44		via1941	1941	f	n/d	Николаево	Заречье	Да, кучери вот тут спереди (	спереду	).
5280	196957	199736	2019_zarechje_via1941_1_2_18-20_24_34_36_44		via1941	1941	f	n/d	Николаево	Заречье	Пошли в ягоды, бруснику (	бреснику	).
5281	200396	204846	2019_zarechje_via1941_1_2_18-20_24_34_36_44		via1941	1941	f	n/d	Николаево	Заречье	И укусила в	лесу	змея, а он, зять был в рейсе.
5283	210052	213760	2019_zarechje_via1941_1_2_18-20_24_34_36_44		via1941	1941	f	n/d	Николаево	Заречье	Ну её, там был сосед в	лесу	.
5295	249252	253239	2019_zarechje_via1941_1_2_18-20_24_34_36_44		via1941	1941	f	n/d	Николаево	Заречье	к	экстрасенсу	(страсенцу) лечиться. А туда приехала,
5485	998529	1002079	2019_zarechje_via1941_1_2_18-20_24_34_36_44		via1941	1941	f	n/d	Николаево	Заречье	потом свяжет его, положит на	краю	,
5488	1009455	1012505	2019_zarechje_via1941_1_2_18-20_24_34_36_44		via1941	1941	f	n/d	Николаево	Заречье	Каталась по этому	снопу	.
5578	175460	179990	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	ну у на'с нъприме'р хто' хати'т то'т патхо'дит к	пако'йнику	
5580	191560	195880	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	ну умира'юшчыму	во'ду	Где' ста'вили? в изГало'вьи?
5583	214980	222100	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	ну ня то' шъ там ба'тюшка е'зь жъ таки'я жэ'ншшыны като'рыи зна'ют мали'твы пъ -	царко'wнъму	тэ'и ътпива'ли
5589	260140	264680	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	э'тъ нъзыва'лъся па -	кни'жнъму	пъ - царько'внъму э'тъ та'йнъя вячэ'ря
5589	260140	264680	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	э'тъ нъзыва'лъся па - кни'жнъму пъ -	царько'внъму	э'тъ та'йнъя вячэ'ря
5592	271100	280200	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	пъзаву'т пако'ника ро'цтвиник там жъна' или хто' вы'йдит на	у'лицу	пъГука'ить яГо' паво'ить Го'лъсъм паво'ить
5593	280680	286300	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	што'б... ну' а е'тыя расхо'дюцъ тъда' ужэ' иду'ть	маГи'лу	къпа'ть ну'...
5601	328210	336230	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	э'тъ ш ани' ж на'дъ штоп ё'н мали'лся нъ васхо'т со'нцъ пако'йник	паэ'тъму	на'дъ лажы'ть нъ за'пъд Гълаво'й у на'с нъ за'пъд ло'жут
5614	410030	413110	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	нъкрыва'ють Гро'п и тъда' w	маГи'лу	апуска'ють
5626	488540	490620	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	състари' вядё'ццъ	паэ'тъму	...
5627	490810	493510	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье	къда' выно'сют пако'йника на	у'лицу	
5651	602430	603100	2019_zarechje_ndr_2_2		ndr1934	1934	f	8 классов	Мурашки	Заречье		бо'гу	
5866	769637	771090	2019_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	пошёл к	соседу	.
5873	789717	796613	2019_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	И они остались тоже на	посёлку	, одна хата осталась, никого не было, дак они (яны) одни остались.
5956	1118465	1126585	2019_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А я. Я	бою	= И кукушки, они кукуют. Ой, ну куда (куды) им тут (тута) в лесу куковать. И соловей поёт (пяеть).
5956	1118465	1126585	2019_Malye_Xutora_zvp1934_2		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А я. Я бою = И кукушки, они кукуют. Ой, ну куда (куды) им тут (тута) в	лесу	куковать. И соловей поёт (пяеть).
6068	360118	362922	2018_stajki_vfp1931_3_47-66		vfp1931	1931	f	6 классов	Николаево	Стайки	Да в	лесу	всегда можно заблудиться!
6092	470575	472306	2018_stajki_vfp1931_3_47-66		vfp1931	1931	f	6 классов	Николаево	Стайки	У нас там ёжики в	лесу	.
6131	663496	664936	2018_stajki_vfp1931_3_47-66		vfp1931	1931	f	6 классов	Николаево	Стайки	В	лесу	, во дво =, э - э,
6211	1067693	1070949	2018_stajki_vfp1931_3_47-66		vfp1931	1931	f	6 классов	Николаево	Стайки	А тут, м - м, в деревнях не было никакого	базару	.
